ID	ID_ALUNO	ID_CURSO	AcertosConhecEspecificos	PercenConhecEspecificos	AcertosfundaGerais	PercenFundaGerais	NotasTeste	PercenTotal	ClassGeral	ClassUnidade
51	51	51	11	36,67	8	80	19	47,5	15	1
52	52	52	7	23,33	5	50	12	30	22	11
53	53	53	7	23,33	8	80	15	37,5	19	7
54	54	54	12	40	8	80	20	50	14	1
55	55	55	7	23,33	6	60	13	32,5	21	6
56	56	56	9	30	5	50	14	35	20	13
57	57	57	8	26,67	7	70	15	37,5	19	4
58	58	58	16	53,33	6	60	22	55	12	5
59	59	59	9	30	3	30	12	30	22	7
60	60	60	7	23,33	7	70	14	35	20	13
61	61	61	8	26,67	6	60	14	35	20	13
62	62	62	10	33,33	9	90	19	47,5	15	5
63	63	63	9	30	5	50	14	35	20	11
64	64	64	14	46,67	6	60	20	50	14	5
65	65	65	14	46,67	9	90	23	57,5	11	1
66	66	66	10	33,33	3	30	13	32,5	21	6
67	67	67	7	23,33	4	40	11	27,5	23	11
68	68	68	14	40	6	60	18	45	16	7
69	69	69	16	53,33	6	60	22	55	12	5
70	70	70	13	43,33	4	40	17	42,5	17	5
71	71	71	10	33,33	6	60	16	40	18	6
72	72	72	11	36,67	4	40	15	37,5	19	4
73	73	73	11	36,67	4	40	15	37,5	19	8
74	74	74	8	26,67	6	60	14	35	20	5
75	75	75	7	23,33	8	80	15	37,5	19	7
76	76	76	12	40	7	70	19	47,5	15	8
77	77	77	17	56,67	7	70	24	60	10	3
78	78	78	12	40	7	70	19	47,5	15	5
79	79	79	14	46,67	3	30	17	42,5	17	7
80	80	80	14	46,67	7	70	21	52,5	13	1
81	81	81	11	36,67	5	50	16	40	18	8
82	82	82	10	33,33	4	40	14	35	20	12
83	83	83	12	40	7	70	19	47,5	15	5
84	84	84	8	26,67	4	40	12	30	22	13
85	85	85	13	43,33	4	40	17	42,5	17	10
86	86	86	14	46,67	8	80	22	55	12	2
87	87	87	14	26,67	7	70	15	37,5	19	11
88	88	88	18	60	7	70	25	62,5	9	2
89	89	89	14	46,67	5	50	19	47,5	15	6
90	90	90	9	30	6	60	15	37,5	19	12
91	91	91	15	50	7	70	22	55	12	3
92	92	92	9	30	7	70	16	40	18	11
93	93	93	14	46,67	7	70	21	52,5	13	5
94	94	94	8	26,67	6	60	14	35	20	11
95	95	95	11	36,67	6	60	17	42,5	17	7
96	96	96	9	30	6	60	15	37,5	19	10
97	97	97	16	53,33	5	50	21	52,5	13	2
98	98	98	10	33,33	4	40	14	35	20	8
99	99	99	9	30	4	40	13	32,5	21	8
100	100	100	18	60	5	50	23	57,5	11	4
101	101	101	16	53,33	5	50	21	52,5	13	5
102	102	102	11	36,67	7	70	18	45	16	6
103	103	103	13	43,33	6	60	19	47,5	15	1
104	104	104	13	43,33	8	80	21	52,5	13	3
105	105	105	13	43,33	5	50	18	45	16	6
106	106	106	8	26,67	7	70	15	37,5	19	7
107	107	107	10	33,33	2	20	12	30	22	15
108	108	108	8	26,67	3	30	11	27,5	23	11
109	109	109	12	40	6	60	18	45	16	6
110	110	110	13	43,33	7	70	20	50	14	4
111	111	111	10	33,33	8	80	18	45	16	5
112	112	112	13	43,33	3	30	16	40	18	9
113	113	113	11	36,67	6	60	17	42,5	17	10
114	114	114	11	36,67	7	70	18	45	16	2
115	115	115	8	26,67	5	50	13	32,5	21	6
116	116	116	11	36,67	6	60	17	42,5	17	7
117	117	117	6	20	4	40	10	25	24	15
118	118	118	10	33,33	3	30	13	32,5	21	12
119	119	119	17	56,67	6	60	23	57,5	11	4
120	120	120	12	40	5	50	17	42,5	17	3
121	121	121	15	50	6	60	21	52,5	13	3
122	122	122	13	43,33	2	20	15	37,5	19	9
123	123	123	7	23,33	7	70	14	35	20	10
124	124	124	10	33,33	6	60	16	40	18	8
125	125	125	12	40	4	40	16	40	18	3
126	126	126	5	16,67	4	40	9	22,5	1	1
127	127	127	9	30	2	20	11	27,5	23	11
128	128	128	9	30	4	40	13	32,5	21	12
129	129	129	6	20	1	10	7	17,5	3	3
130	130	130	10	33,33	6	60	16	40	18	3
131	131	131	9	30	4	40	13	32,5	21	12
132	132	132	14	46,67	6	60	20	50	14	3
133	133	133	9	30	8	80	17	42,5	17	5
134	134	134	8	26,67	6	60	14	35	20	9
135	135	135	12	40	6	60	18	45	16	4
136	136	136	5	16,67	4	40	9	22,5	1	1
137	137	137	14	46,67	5	50	19	47,5	15	4
138	138	138	9	30	5	50	14	35	20	13
139	139	139	15	50	6	60	21	52,5	13	4
140	140	140	17	56,67	7	70	24	60	10	2
141	141	141	8	26,67	2	20	10	25	24	15
142	142	142	9	30	7	70	16	40	18	9
143	143	143	12	40	7	70	19	47,5	15	5
144	144	144	9	30	6	60	15	37,5	19	4
145	145	145	10	33,33	4	40	14	35	20	9
146	146	146	8	26,67	4	40	12	30	22	10
147	147	147	7	23,33	8	80	15	37,5	19	10
148	148	148	12	40	6	60	18	45	16	6
149	149	149	13	43,33	3	30	16	40	18	6
150	150	150	9	30	5	50	14	35	20	11
151	151	151	7	23,33	7	70	14	35	20	5
152	152	152	18	60	7	70	25	62,5	9	2
153	153	153	13	43,33	6	60	19	47,5	15	7
154	154	154	8	26,67	2	20	10	25	24	12
155	155	155	5	16,67	8	80	13	32,5	21	10
156	156	156	12	40	5	50	17	42,5	17	7
157	157	157	10	33,33	5	50	15	37,5	19	12
158	158	158	7	23,33	3	30	10	25	24	7
159	159	159	13	43,33	3	30	16	40	18	9
160	160	160	12	40	8	80	20	50	14	5
161	161	161	12	40	6	60	18	45	16	7
162	162	162	8	26,67	6	60	14	35	20	12
163	163	163	8	26,67	8	80	16	40	18	3
164	164	164	8	26,67	4	40	12	30	22	6
165	165	165	16	53,33	8	80	24	60	10	2
166	166	166	9	30	3	30	12	30	22	6
167	167	167	13	43,33	6	60	19	47,5	15	4
168	168	168	10	33,33	7	70	17	42,5	17	8
169	169	169	14	46,67	8	80	22	55	12	4
170	170	170	12	40	5	50	17	42,5	17	8
171	171	171	13	43,33	5	50	18	45	16	7
172	172	172	13	43,33	7	70	20	50	14	4
173	173	173	13	43,33	3	30	16	40	18	8
174	174	174	10	33,33	4	40	14	35	20	11
175	175	175	11	36,67	2	20	13	32,5	21	12
176	176	176	12	40	7	70	19	47,5	15	4
177	177	177	20	40	4	40	16	40	18	11
178	178	178	18	60	9	90	27	67,5	7	3
179	179	179	15	50	5	50	20	50	14	7
180	180	180	9	30	7	70	16	40	18	8
181	181	181	10	33,33	3	30	13	32,5	21	9
182	182	182	10	33,33	4	40	14	35	20	9
183	183	183	11	36,67	3	30	14	35	20	10
184	184	184	15	50	7	70	22	55	12	1
185	185	185	14	46,67	7	70	21	52,5	13	4
186	186	186	12	40	4	40	16	40	18	10
187	187	187	14	46,67	7	70	21	52,5	13	3
188	188	188	10	33,33	5	50	15	37,5	19	7
189	189	189	11	36,67	5	50	16	40	18	8
190	190	190	12	40	8	80	20	50	14	7
191	191	191	7	23,33	5	50	12	30	22	6
192	192	192	14	46,67	8	80	22	55	12	2
193	193	193	9	30	4	40	13	32,5	21	9
194	194	194	11	36,67	6	60	17	42,5	17	7
195	195	195	9	30	5	50	14	35	20	5
196	196	196	11	36,67	10	100	21	52,5	13	4
197	197	197	15	50	9	90	24	60	10	1
198	198	198	11	36,67	6	60	17	42,5	17	7
199	199	199	11	36,67	2	20	13	32,5	21	5
200	200	200	10	33,33	7	70	17	42,5	17	7
201	201	201	15	50	7	70	22	55	12	5
202	202	202	14	46,67	6	60	20	50	14	5
203	203	203	14	46,67	8	80	22	55	12	5
204	204	204	8	26,67	5	50	13	32,5	21	6
205	205	205	12	40	8	80	20	50	14	6
206	206	206	15	50	7	70	22	55	12	1
207	207	207	8	26,67	2	20	10	25	24	7
208	208	208	9	30	4	40	13	32,5	21	12
209	209	209	13	43,33	7	70	20	50	14	4
210	210	210	12	40	2	20	14	35	20	8
211	211	211	12	40	4	40	16	40	18	8
212	212	212	7	23,33	6	60	13	32,5	21	13
213	213	213	13	43,33	7	70	20	50	14	1
214	214	214	14	46,67	6	60	20	50	14	3
215	215	215	12	40	5	50	17	42,5	17	5
216	216	216	10	33,33	7	70	17	42,5	17	8
217	217	217	11	36,67	5	50	16	40	18	8
218	218	218	10	33,33	3	30	13	32,5	21	12
219	219	219	12	40	4	40	16	40	18	6
220	220	220	13	43,33	4	40	17	42,5	17	8
221	221	221	12	40	7	70	19	47,5	15	5
222	222	222	11	36,67	4	40	15	37,5	19	9
223	223	223	17	56,67	8	80	25	62,5	9	1
224	224	224	17	56,67	7	70	24	60	10	1
225	225	225	6	23,33	4	40	11	27,5	23	11
226	226	226	9	30	7	70	16	40	18	6
227	227	227	5	16,67	3	30	8	20	2	1
228	228	228	10	33,33	5	50	15	37,5	19	10
229	229	229	11	36,67	5	50	16	40	18	8
230	230	230	9	30	4	40	13	32,5	21	12
231	231	231	12	40	5	50	17	42,5	17	5
232	232	232	18	30	8	80	17	42,5	17	7
233	233	233	23	76,67	7	70	30	75	5	1
234	234	234	12	40	6	60	18	45	16	2
235	235	235	13	43,33	6	60	19	47,5	15	6
236	236	236	10	33,33	4	40	14	35	20	8
237	237	237	11	36,67	3	30	14	35	20	5
238	238	238	10	33,33	3	30	13	32,5	21	10
239	239	239	12	40	5	50	17	42,5	17	8
240	240	240	11	36,67	3	30	14	35	20	13
241	241	241	6	20	5	50	11	27,5	23	14
242	242	242	10	33,33	4	40	14	35	20	5
243	243	243	11	36,67	7	70	18	45	16	6
244	244	244	14	46,67	9	90	23	57,5	11	3
245	245	245	9	30	4	40	13	32,5	21	10
246	246	246	11	36,67	8	80	19	47,5	15	5
247	247	247	17	56,67	8	80	25	62,5	9	2
248	248	248	10	33,33	9	90	19	47,5	15	6
249	249	249	13	43,33	5	50	18	45	16	7
250	250	250	5	16,67	9	90	14	35	20	8
251	251	251	16	53,33	5	50	21	52,5	13	3
252	252	252	9	30	5	50	14	35	20	11
253	253	253	15	50	6	60	21	52,5	13	3
254	254	254	16	53,33	6	60	22	55	12	5
255	255	255	15	50	8	80	23	57,5	11	2
256	256	256	7	23,33	7	70	14	35	20	9
257	257	257	12	40	8	80	20	50	14	5
258	258	258	16	53,33	5	50	21	52,5	13	2
259	259	259	13	43,33	3	30	16	40	18	3
260	260	260	10	33,33	2	20	12	30	22	11
261	261	261	13	43,33	5	50	18	45	16	2
262	262	262	6	20	6	60	12	30	22	6
263	263	263	14	46,67	6	60	20	50	14	7
264	264	264	16	53,33	5	50	21	52,5	13	3
265	265	265	20	43,33	4	40	17	42,5	17	7
266	266	266	15	50	7	70	22	55	12	5
267	267	267	10	33,33	7	70	17	42,5	17	5
268	268	268	14	46,67	6	60	20	50	14	7
269	269	269	13	43,33	9	90	22	55	12	2
270	270	270	17	56,67	6	60	23	57,5	11	4
271	271	271	13	43,33	4	40	17	42,5	17	8
272	272	272	6	20	5	50	11	27,5	23	11
273	273	273	14	46,67	3	30	17	42,5	17	8
274	274	274	16	53,33	10	100	26	65	8	1
275	275	275	10	33,33	3	30	13	32,5	21	12
276	276	276	15	50	6	60	21	52,5	13	4
277	277	277	11	36,67	5	50	16	40	18	7
278	278	278	22	73,33	8	80	30	75	5	1
279	279	279	7	23,33	5	50	12	30	22	11
280	280	280	10	33,33	4	40	14	35	20	9
281	281	281	6	20	5	50	11	27,5	23	14
282	282	282	13	43,33	6	60	19	47,5	15	1
283	283	283	11	36,67	5	50	16	40	18	8
284	284	284	10	33,33	6	60	16	40	18	6
285	285	285	9	30	7	70	16	40	18	6
286	286	286	8	26,67	6	60	14	35	20	9
287	287	287	6	20	6	60	12	30	22	15
288	288	288	17	56,67	7	70	24	60	10	1
289	289	289	14	46,67	5	50	19	47,5	15	6
290	290	290	9	30	4	40	13	32,5	21	10
291	291	291	12	40	8	80	20	50	14	1
292	292	292	8	26,67	5	50	13	32,5	21	9
293	293	293	10	33,33	6	60	16	40	18	3
294	294	294	13	43,33	6	60	19	47,5	15	5
295	295	295	15	50	6	60	21	52,5	13	6
296	296	296	8	26,67	7	70	15	37,5	19	10
297	297	297	9	30	3	30	12	30	22	13
298	298	298	15	50	6	60	21	52,5	13	2
299	299	299	20	66,67	4	40	24	60	10	2
300	300	300	9	30	7	70	16	40	18	9
301	301	301	8	26,67	6	60	14	35	20	11
302	302	302	8	26,67	0	0	8	20	2	2
303	303	303	11	36,67	5	50	16	40	18	6
304	304	304	13	43,33	6	60	19	47,5	15	4
305	305	305	11	36,67	6	60	17	42,5	17	6
306	306	306	13	43,33	7	70	20	50	14	4
307	307	307	11	36,67	4	40	15	37,5	19	10
308	308	308	13	43,33	6	60	19	47,5	15	4
309	309	309	9	30	7	70	16	40	18	11
310	310	310	15	50	7	70	22	55	12	1
311	311	311	6	20	6	60	12	30	22	9
312	312	312	15	50	2	20	17	42,5	17	6
313	313	313	13	43,33	5	50	18	45	16	6
314	314	314	14	46,67	8	80	22	55	12	3
315	315	315	9	30	5	50	14	35	20	9
316	316	316	10	33,33	7	70	17	42,5	17	8
317	317	317	11	36,67	6	60	17	42,5	17	5
318	318	318	11	36,67	6	60	17	42,5	17	9
319	319	319	10	33,33	6	60	16	40	18	9
320	320	320	10	33,33	4	40	14	35	20	5
321	321	321	20	66,67	9	90	29	72,5	6	2
322	322	322	12	40	7	70	19	47,5	15	6
323	323	323	12	40	6	60	18	45	16	5
324	324	324	11	36,67	6	60	17	42,5	17	7
325	325	325	11	36,67	3	30	14	35	20	11
326	326	326	13	43,33	9	90	22	55	12	4
327	327	327	11	36,67	6	60	17	42,5	17	9
328	328	328	11	36,67	7	70	18	45	16	8
329	329	329	12	40	5	50	17	42,5	17	7
330	330	330	14	46,67	3	30	17	42,5	17	10
331	331	331	13	43,33	5	50	18	45	16	6
332	332	332	6	20	2	20	8	20	2	2
333	333	333	10	33,33	5	50	15	37,5	19	11
334	334	334	16	53,33	3	30	19	47,5	15	5
335	335	335	10	33,33	4	40	14	35	20	13
336	336	336	8	26,67	6	60	14	35	20	5
337	337	337	11	36,67	6	60	17	42,5	17	1
338	338	338	8	26,67	6	60	14	35	20	2
339	339	339	17	56,67	7	70	24	60	13	7
340	340	340	8	26,67	9	90	17	42,5	20	8
341	341	341	6	20	6	60	12	30	25	18
342	342	342	10	33,33	4	40	14	35	23	11
343	343	343	9	30	7	70	16	40	21	6
344	344	344	10	33,33	9	90	19	47,5	18	6
345	345	345	10	33,33	9	90	19	47,5	18	3
346	346	346	17	56,67	9	90	26	65	11	5
347	347	347	8	26,67	5	50	13	32,5	24	12
348	348	348	12	40	9	90	21	52,5	16	2
349	349	349	8	26,67	4	40	12	30	25	12
350	350	350	13	43,33	10	100	23	57,5	14	5
351	351	351	15	50	7	70	22	55	15	7
352	352	352	5	16,67	6	60	11	27,5	26	14
353	353	353	12	40	9	90	21	52,5	16	7
354	354	354	17	56,67	8	80	25	62,5	12	3
355	355	355	21	70	8	80	29	72,5	8	3
356	356	356	12	40	7	70	19	47,5	18	6
357	357	357	24	80	10	100	34	85	4	1
358	358	358	8	26,67	8	80	16	40	21	6
359	359	359	17	56,67	8	80	25	62,5	12	3
360	360	360	15	50	5	50	20	50	17	9
361	361	361	13	43,33	4	40	17	42,5	20	4
362	362	362	6	20	9	90	15	37,5	22	9
363	363	363	13	43,33	10	100	23	57,5	14	8
364	364	364	8	26,67	8	80	16	40	21	9
365	365	365	14	46,67	5	50	19	47,5	18	5
366	366	366	15	50	5	50	20	50	17	5
367	367	367	15	50	8	80	23	57,5	14	5
368	368	368	13	43,33	9	90	22	55	15	2
369	369	369	6	20	9	90	15	37,5	22	10
370	370	370	15	50	8	80	23	57,5	14	5
371	371	371	12	40	5	50	17	42,5	20	8
372	372	372	16	53,33	8	80	24	60	13	6
373	373	373	7	23,33	7	70	14	35	23	9
374	374	374	17	56,67	8	80	25	62,5	12	6
375	375	375	15	50	7	70	22	55	15	3
376	376	376	15	50	7	70	22	55	15	4
377	377	377	6	20	3	30	9	22,5	1	1
378	378	378	8	26,67	6	60	14	35	23	16
379	379	379	16	53,33	9	90	25	62,5	12	3
380	380	380	15	50	9	90	24	60	13	5
381	381	381	8	26,67	9	90	17	42,5	20	8
382	382	382	12	40	5	50	17	42,5	20	8
383	383	383	14	46,67	6	60	20	50	17	6
384	384	384	18	60	8	80	26	65	11	5
385	385	385	9	30	6	60	15	37,5	22	15
386	386	386	12	40	5	50	17	42,5	20	12
387	387	387	9	30	8	80	17	42,5	20	6
388	388	388	17	56,67	9	90	26	65	11	4
389	389	389	9	30	6	60	15	37,5	22	10
390	390	390	17	56,67	9	90	26	65	11	2
391	391	391	14	46,67	7	70	21	52,5	16	5
392	392	392	18	60	10	100	28	70	9	3
393	393	393	10	33,33	8	80	18	45	19	6
394	394	394	14	46,67	7	70	21	52,5	16	9
395	395	395	12	40	4	40	16	40	21	6
396	396	396	11	36,67	5	50	16	40	21	9
397	397	397	17	56,67	8	80	25	62,5	12	5
398	398	398	9	30	5	50	14	35	23	12
399	399	399	15	50	7	70	22	55	15	9
400	400	400	19	63,33	7	70	26	65	11	5
401	401	401	19	63,33	10	100	29	72,5	8	1
402	402	402	10	33,33	7	70	17	42,5	20	9
403	403	403	8	26,67	6	60	14	35	23	10
404	404	404	16	53,33	8	80	24	60	13	4
405	405	405	13	43,33	5	50	18	45	19	11
406	406	406	4	13,33	3	30	7	17,5	3	1
407	407	407	3	10	7	70	10	25	27	15
408	408	408	11	36,67	8	80	19	47,5	18	10
409	409	409	10	33,33	5	50	15	37,5	22	7
410	410	410	11	36,67	9	90	20	50	17	9
411	411	411	9	30	7	70	16	40	21	9
412	412	412	11	36,67	4	40	15	37,5	22	10
413	413	413	8	26,67	6	60	14	35	23	10
414	414	414	15	50	10	100	25	62,5	12	5
415	415	415	8	26,67	7	70	15	37,5	22	15
416	416	416	10	33,33	4	40	14	35	23	8
417	417	417	12	40	9	90	21	52,5	16	5
418	418	418	7	23,33	3	30	10	25	27	14
419	419	419	20	66,67	8	80	28	70	9	2
420	420	420	13	43,33	10	100	23	57,5	14	7
421	421	421	8	26,67	7	70	15	37,5	22	6
422	422	422	11	36,67	8	80	19	47,5	18	2
423	423	423	14	46,67	8	80	22	55	15	4
424	424	424	13	43,33	10	100	23	57,5	14	1
425	425	425	9	30	9	90	18	45	19	12
426	426	426	8	26,67	6	60	14	35	23	7
427	427	427	6	20	7	70	13	32,5	24	10
428	428	428	11	36,67	9	90	20	50	17	10
429	429	429	20	66,67	9	90	29	72,5	8	3
430	430	430	16	53,33	7	70	23	57,5	14	7
431	431	431	4	13,33	3	30	7	17,5	3	3
432	432	432	9	30	8	80	17	42,5	20	6
433	433	433	13	43,33	6	60	19	47,5	18	5
434	434	434	12	40	8	80	20	50	17	9
435	435	435	7	23,33	10	100	17	42,5	20	10
436	436	436	15	50	10	100	25	62,5	12	6
437	437	437	11	36,67	8	80	19	47,5	18	11
438	438	438	8	26,67	7	70	15	37,5	22	13
439	439	439	16	53,33	6	60	22	55	15	6
440	440	440	18	60	9	90	27	67,5	10	1
441	441	441	6	20	3	30	9	22,5	1	1
442	442	442	8	26,67	5	50	13	32,5	24	12
443	443	443	5	16,67	6	60	11	27,5	26	13
444	444	444	22	73,33	10	100	32	80	5	1
445	445	445	9	30	6	60	15	37,5	22	10
446	446	446	18	60	9	90	27	67,5	10	3
447	447	447	17	56,67	7	70	24	60	13	4
448	448	448	21	70	10	100	31	77,5	6	1
449	449	449	7	23,33	7	70	14	35	23	10
450	450	450	11	36,67	5	50	16	40	21	9
451	451	451	9	30	6	60	15	37,5	22	8
452	452	452	11	36,67	8	80	19	47,5	18	10
453	453	453	14	46,67	6	60	20	50	17	6
454	454	454	10	33,33	8	80	18	45	19	3
455	455	455	14	46,67	8	80	22	55	15	7
456	456	456	15	50	7	70	22	55	15	8
457	457	457	7	23,33	7	70	14	35	23	11
458	458	458	18	60	10	100	28	70	9	3
459	459	459	18	60	9	90	27	67,5	10	3
460	460	460	5	16,67	3	30	8	20	2	2
461	461	461	6	20	4	40	10	25	27	14
462	462	462	18	60	10	100	28	70	9	2
463	463	463	6	20	3	30	9	22,5	1	1
464	464	464	8	26,67	2	20	10	25	27	14
465	465	465	15	50	6	60	21	52,5	16	4
466	466	466	6	20	7	70	13	32,5	24	12
467	467	467	12	40	8	80	20	50	17	10
468	468	468	18	60	8	80	26	65	11	5
469	469	469	4	13,33	4	40	8	20	2	2
470	470	470	7	23,33	7	70	14	35	23	7
471	471	471	16	53,33	5	50	21	52,5	16	7
472	472	472	17	56,67	8	80	25	62,5	12	5
473	473	473	6	20	7	70	13	32,5	24	9
474	474	474	7	23,33	3	30	10	25	27	15
475	475	475	9	30	2	20	11	27,5	26	19
476	476	476	8	26,67	9	90	17	42,5	20	8
477	477	477	8	26,67	6	60	14	35	23	11
478	478	478	14	46,67	8	80	22	55	15	2
479	479	479	7	23,33	7	70	14	35	23	10
480	480	480	7	23,33	3	30	10	25	27	20
481	481	481	9	30	7	70	16	40	21	5
482	482	482	14	46,67	5	50	19	47,5	18	10
483	483	483	16	53,33	9	90	25	62,5	12	3
484	484	484	12	40	5	50	17	42,5	20	9
485	485	485	20	66,67	8	80	28	70	9	2
486	486	486	20	66,67	8	80	28	70	9	4
487	487	487	19	63,33	10	100	29	72,5	8	2
488	488	488	1	3,33	6	60	7	17,5	3	2
489	489	489	10	33,33	8	80	18	45	19	3
490	490	490	11	36,67	9	90	20	50	17	5
491	491	491	8	26,67	5	50	13	32,5	24	12
492	492	492	8	26,67	5	50	13	32,5	24	11
493	493	493	8	26,67	6	60	14	35	23	14
494	494	494	9	30	6	60	15	37,5	22	8
495	495	495	12	40	9	90	21	52,5	16	6
496	496	496	13	43,33	10	100	23	57,5	14	5
497	497	497	16	53,33	7	70	23	57,5	14	7
498	498	498	12	40	8	80	20	50	17	4
499	499	499	9	30	6	60	15	37,5	22	13
500	500	500	12	40	3	30	15	37,5	22	10
501	501	501	12	40	4	40	16	40	21	14
502	502	502	9	30	9	90	18	45	19	4
503	503	503	14	46,67	9	90	23	57,5	14	7
504	504	504	10	33,33	6	60	16	40	21	9
505	505	505	21	70	9	90	30	75	7	2
506	506	506	6	20	7	70	13	32,5	24	17
507	507	507	7	23,33	7	70	14	35	23	11
508	508	508	11	36,67	3	30	14	35	23	7
509	509	509	7	23,33	7	70	14	35	23	16
510	510	510	10	33,33	8	80	18	45	19	7
511	511	511	8	26,67	3	30	11	27,5	26	12
512	512	512	7	23,33	5	50	12	30	25	12
513	513	513	15	50	9	90	24	60	13	6
514	514	514	14	46,67	8	80	22	55	15	6
515	515	515	21	70	10	100	31	77,5	6	2
516	516	516	12	40	9	90	21	52,5	16	3
517	517	517	11	36,67	7	70	18	45	19	13
518	518	518	14	46,67	6	60	20	50	17	5
519	519	519	9	30	6	60	15	37,5	22	6
520	520	520	8	26,67	6	60	14	35	23	10
521	521	521	8	26,67	6	60	14	35	23	10
522	522	522	9	30	6	60	15	37,5	22	10
523	523	523	15	50	9	90	24	60	13	4
524	524	524	13	43,33	6	60	19	47,5	18	7
525	525	525	9	30	8	80	17	42,5	20	4
526	526	526	10	33,33	8	80	18	45	19	6
527	527	527	15	50	8	80	23	57,5	14	7
528	528	528	5	16,67	7	70	12	30	25	13
529	529	529	13	43,33	8	80	21	52,5	16	7
530	530	530	4	13,33	4	40	8	20	2	2
531	531	531	14	46,67	5	50	19	47,5	18	2
532	532	532	4	13,33	5	50	9	22,5	1	1
533	533	533	12	40	7	70	19	47,5	18	11
534	534	534	13	43,33	8	80	21	52,5	16	3
535	535	535	11	36,67	7	70	18	45	19	7
536	536	536	18	60	8	80	26	65	11	5
537	537	537	11	36,67	9	90	20	50	17	5
538	538	538	9	30	4	40	13	32,5	24	12
539	539	539	16	53,33	6	60	22	55	15	8
540	540	540	11	36,67	7	70	18	45	19	7
541	541	541	9	30	5	50	14	35	23	10
542	542	542	8	26,67	8	80	16	40	21	14
543	543	543	9	30	8	80	17	42,5	20	8
544	544	544	9	30	4	40	13	32,5	24	14
545	545	545	15	50	4	40	19	47,5	18	7
546	546	546	10	33,33	8	80	18	45	19	7
547	547	547	14	46,67	10	100	24	60	13	7
548	548	548	10	33,33	6	60	16	40	21	8
549	549	549	10	33,33	7	70	17	42,5	20	7
550	550	550	11	36,67	6	60	17	42,5	20	8
551	551	551	10	33,33	7	70	17	42,5	20	7
552	552	552	13	43,33	4	40	17	42,5	20	5
553	553	553	18	60	10	100	28	70	9	2
554	554	554	9	30	8	80	17	42,5	20	10
555	555	555	14	46,67	7	70	21	52,5	16	5
556	556	556	10	33,33	8	80	18	45	19	8
557	557	557	11	36,67	6	60	17	42,5	20	8
558	558	558	10	33,33	7	70	17	42,5	20	8
559	559	559	19	63,33	10	100	29	72,5	8	2
560	560	560	11	36,67	9	90	20	50	17	5
561	561	561	7	23,33	7	70	14	35	23	10
562	562	562	11	36,67	6	60	17	42,5	20	8
563	563	563	18	60	8	80	26	65	11	4
564	564	564	16	53,33	7	70	23	57,5	14	3
565	565	565	12	40	5	50	17	42,5	20	8
566	566	566	12	40	9	90	21	52,5	16	5
567	567	567	7	23,33	7	70	14	35	23	9
568	568	568	12	40	7	70	19	47,5	18	6
